"name","address","state","overview","theme","establishment_year","website","contact_info","admission_fee","timings","facilities"
"Archaeological Site Museum","Mylavaram Dam, Jammalamadugu, Cuddapah - 516434","Andhra Pradesh","The collection displays stone sculptures, arms and weapons, coins, terracotta objects and palm leaf man - uscripts","Archaeological Museum","1981","https://www.aparchmuseums.nic.in","8662577986","Free","10:30 AM - 05:00 PM (Closed on Fridays)","Library, Photography and Guided Tours"
"Sri Rallabandi Subbarao Government Museum","Godavari Bund Road, Vankayalavari Veedhi, Rajahmundry - 533102","Andhra Pradesh","The Museum displays the stone sculptures in the verandahs and courtyard. In the hall, antiquities such as Palaeolithic tools, Neolithic implements, Early historic potter y and terracotta figurines, bronzes, coins, Bidri ware, arms and weapons, wood carvings, and Miniature paintings are displayed. The outstanding collections of the Museums are stone sculptures, gold coins, and wood work by tribal women","Archaeological Museum","1967","https://www.aparchmuseums.nic.in","8662577986","Free","10:30 AM - 05:00 PM (Closed on Fridays)","Library, Photography and Guided Tours"
"Sri R.S.R Government Museum","Ulli Thota Street, Rajahmundry - 533102","Andhra Pradesh","The Museum exhibits the archaeological artefacts such as sculptures from differe nt periods","Archaeological Museum","1967","https://www.aparchmuseums.nic.in","0866 2577986","Free","10:30 AM - 05:00 PM (Closed on Fridays)","Library and Photography"
"Archaeological Site Museum","Kanuparthy, Prakasam - 523180","Andhra Pradesh","The Museum houses a collection of 120 stone sculptures from the 2nd century A.D. to the 16th Century A.D., excavated in the village of Kanuparthy. The artefacts include carved sculptures depicting Nandi, Saptamatrika, Surya and Bhairava along with limestone panels and slabs from Neelayapalem","Archaeological Museum","1983","https://www.aparchmuseums.nic.in","0866 2577986, diraparch@gmail.com","Free","10:30 AM - 05:00 PM (Closed on Fridays)","Guided Tours and Photography"
"Archaeological Site Museum","Nellore - 524001","Andhra Pradesh","The Museum houses the stone sculptures and architectural marvels dated from Satavahana to the Post Vijayanagar Period","Archaeological Museum","2006","https://www.aparchmuseums.nic.in","0866 2577986, diraparch@gmail.com","Adults: Rs. 3 per head and Children: Rs. 1 per head","10:30 AM - 05:00 PM (Closed on Fridays)","Guided Tours and Photography"
"Chitralaya Besant Theosophical College","Besant Hall, Giri Rao Street, Madanapalle - 517325","Andhra Pradesh","The Museum houses artefacts such as paintings, and sculptures from Southern India, copies of Ajanta frescoes and wall paintings from Cochin","Archaeological Museum","1920","","08571 224855","Free","10:00 AM - 04:00 PM (Closed on Saturdays and Sundays)","Library, Photography and Film Shows"
"Kalachakra Museum","Main road, Opposite Ambedkar Statue, Amaravati - 522020","Andhra Pradesh","The Museum displays collections based on the Buddhist artistic traditi ons that flourished in the region of Amaravati. On panels made of marble and stone, several episodes from the life of Buddha and the Jataka Tales are portrayed which are displayed in the Museum’s courtyard","Archaeological Museum","2006","https://www.aparchmuseums.nic.in","","Adults: Rs. 5 per head and Children: Rs. 2 per head","10:30 AM - 05:00 PM (Closed on Fridays)","Guided Tours and Photography"
"Sri Venkateswara Museum on Temple Art","G.N. Mada St., Varadaraja Nagar, Tirupati - 517501","Andhra Pradesh","The Museum displays its collection in two sections. The first sect ion focuses on the Temple Architecture depicting Vaishnavism’s history. The second half is dedicated to Srivari Vahanams, which are Vishnu’s vehicles that are used at Brahmotsavams; a gallery of wood carvings, Divya Kshetram, Bharatanatyam Mudras, musical instru - ments and Kalamkari","Art and Craft Museum","1983","https://www.tirumala.org","155257","Free","10:00 AM - 06:00 PM","Guided Tours and Library"
"Telugu Samskruthika Niketanam","Hill Top Road, Kailasagiri, Visakhapatnam - 530043","Andhra Pradesh","The Museum building designed by renowned art director Thota Tharani, showcases Telugu legacy from Deccan Dynasty of Satavahana till recent times by a series of sculptures, portraits, art works and inscriptions, accom - panied with 42 episodes showing contributions of various saints, poets, freedom fi ghters, political leaders and other artists to the Telugu Culture","Art and Craft Museum","2015","https://www.vizagtourism.org.in","","Full Show: Rs. 40 per head and General Show: Rs. 20 per head","11:00 AM - 07:00 PM (Closed on Mondays)","Light and Sound Show"
"Damerla Rama Rao Art Gallery","Railway Station Road, Lakshmi Varapu Peta, Seshayya Metta, Rajahmundry - 533101","Andhra Pradesh","The Museum houses the works of Damerla Rama Rao who was responsible for initiating a movement to revive the Andhra Style of Painting. The gallery has 34 oil paintings, 129 watercolour paintings, 26 sketchbooks and a number of studies in pencil and loose sketches. These include oil paintings such as ‘Krishna Leela’ (1921), ‘Godavari of Eastern Ghats’ (1921), ‘Milkmaids of Kathiawar’ (1923), and watercolour paintings like ‘Siddartha Ragodayam’ on Gautama Buddha and ‘Nandi Puja’ on the Kakatiyas","Art and Craft Museum","","","","","10:30 AM - 05:00 PM (Closed on Fridays)","Art Shows DEFENCE MUSEUMS"
"Victory at Sea War Memorial","31, Dr. N.T.R. Beach Road, Kirlampudi Layout, Chinna Waltair, Pedda Waltair, Visakhapatnam - 530003","Andhra Pradesh","","War Memorial Museum","1971","https://www.vizagtourism.org.in","","Free","Open for 24 hours",""
"Kursura Submarine Museum","Rama Krishna Beach, Near Kirlampudi Layout, Visakhapatnam - 530001","Andhra Pradesh","The Museum depicts the milestones of the evolution of submarines through artefacts, photographs and written scripts. The Museum showcases the life inside a submarine and hardships faced by the submariners in the sea. Various parts of the submarine like the Radar Room, Sonar Room, Control Room, and the weapons used during war are on display in this Museum","Submarine Museum","2002","https://www.vmrda.gov.in","0891 2754133","Adult: Rs. 40 per head and Children: Rs. 20 per head","02:00 PM - 09:00 PM (Closed on Mondays)","Guided Tours, School Programmes, Lectures and Photography"
"TU 142 M Aircraft Museum","Dr. N.T.R. Beach Road, Opposite Kursura Submarine Museum, AU North Campus, HPCL Colony, Pan - durangapuram, Visakhapatnam - 530003","Andhra Pradesh","The Museum displays various mechanical equipment and accoutrements, turboprop, anti-submarine war - fare aircraft. The collection includes engines, propellers, parachutes, anti-submarine missiles, date recorder and son buoys. Audio-visual aid is also made accessible to visitors in order to complement their museum viewing experience","Air Force Museum","2017","","08125 252261","Free","02:00 PM - 08:30 PM","Guided Tours and Photography"
"VMDRA INS Kursura Submarine Museum","R.K. Beach Road, Kirlampudi Layout, Chinna Waltair, Pandurangapuram, Visakhapatnam - 530017","Andhra Pradesh","The INS Kurusura Submarine became a part of the Indian Navy on 18th December 1969 and after being in service for 31 years was decommissioned on 28th February 2001. It was later positioned on a concrete foundation. The Government and the Youth Advancement, Tourism and Culture Department on 30th April 2002 ordered the transfer of the management and the maintenance of the Submarine Museum along with surrounding open areas and food courts to the Visakhapatnam Metropolitan Region Development Authority (VMDRA)","Submarine Museum","2002","https://www.vmdra.gov.in","0891 2754133","Adults: Rs. 40 per head and Children: Rs. 10 per head","02:00 PM - 09:00 PM (Closed on Mondays)","Not Available ETHNOGRAPHIC MUSEUMS"
"Tribal Museum","Araku Valley - 531149","Andhra Pradesh","The Museum made out of mud and metal aims at representing and conserving the daily life, traditional art and handicrafts of the tribal communities such as the Khord, B. Mallis, Bagata, Gadaba, Koya, and Savara inhabited in the Araku Valley. The Museum is divided into 2 galleries. The first gallery showcases the dioramas of dances, and ritualistic rooms, showcasing hunting scenes. It displays household articles, musical instruments, and local art. The second gallery showcases jewellery worn by the tribals during festivals and performing dance, mainly masks worn mainly during celebrations","Ethnographic Museum","1996","https://www.aptourism.gov.in","08500 640491","Adults: Rs. 40 per head and Children: Rs. 20 per head","10:00 AM - 06:00 PM","Souvenir Shop, Archery Stalls, Boating Facilities, Photography, Tribal Arts and Craft Centre which holds  Workshops and Seminars for promoting Tribal and Folk art"
"Chenchu Lakshmi Tribal Museum","Patalganga Trail, Srisailam - 518101","Andhra Pradesh","The Museum named after Chenchu Lakshmi, the consort of Narasimha Swamy, provides a glimpse of the life, culture and practices of the tribes residing in the Srisailam Forests; Chenchu tribe being prominent among them. The Museum has two floors, exhibiting a wide range of artefacts relat ed to different tribes such as the Idols of Gods, weapons, objects of daily use and musical instruments, and one can also see a statue of Chenchu Lakshmi at the Museum","Ethnographic Museum","","https://www.srisailamtourism.com","","Rs. 10 per head","08:30 AM - 08:00 PM","Children Play Area and Souvenir Shop GEOLOGICAL MUSEUM"
"Geology Museum","Geology Museum, Dantuluri Narayana Raju College, Balusumudi, Bhimavaram, West Godavari District - 534202","Andhra Pradesh","The Museum exhibits natural crystals and structures, minerals, zeolites, ores, rocks, fossils, landform mod - els, structural geology models, and precious stones in its repository. The key specimens include polymetallic nodules, collected from the Arabian Sea and precious stones","Geological Museum","","","08816 224119, 08816 224072, 08816 228344, contact@dnrcollege.org","Free","09:00 AM - 05:00 PM (Closed on Sundays)","Parking and Photography"
"Visakha Museum","Dr. N.T.R. Beach Road, Opposite Palm Beach Hotel, Dutch Layout, Kirlampudi Layout, Chinna Waltair, Pedda Waltair, Visakhapatnam - 530017","Andhra Pradesh","The Museum houses various musical instruments, historical paintings, obsolete objects of Military arte - facts. The shell of a World War II unexploded bomb, a coconut broken by Jawaharlal Nehru at the launch of the ship S.S. Jala Usha (the first steamer built in India after independence by the Scindia Steam Navigation Company), and the desk used by Mahatma Gandhi and later by Sri Tenneti Viswanadham are just a few of the most notable items on display. There is a photo archive in their collection as well. The Museum frequently hosts photo exhibitions, art shows, and art camp","Multipurpose Museum","1991","","0891 2550316","Adults: Rs. 10 per head and Children: Rs. 5 per head","11:00 AM - 07:00 PM",""
"Chaitanya Jyoti Museum","Chaitanya Jyoti Museum, Near Hill view stadium, Puttaparthi, Anantapuram District- 515134","Andhra Pradesh","The Museum is devoted to the Guru who was thought of as Shirdi Sai Baba’s avatar. The Shikhara style and the architecture of Chinese pagodas are both incorporated into the Museum’s design. The common principles that underlie all major world religions are displayed in the Museum, which i s housed in a structure with seven floors. Its collection of religious artefacts from around the world includes idols, replicas, and other items that represent the core principles of all major religions","Religious Museum","2000","https://www.chaitanyajyotimuseum.com","","","09:30 AM - 05:00 pm. (Closed on Mondays)","Photography, Parking"
"Regional Science Centre, Tirupati","Planetarium Road, Tirupati - 517507","Andhra Pradesh","It has six exhibition galleries namely ‘Fun Science’, which has interactive experiments explaining scientif - ic concepts; ‘Popular Science’, which includes exhibits on electricity, heat, magnetism, light sound etc; ‘Our Universe’ which encourages questions on the nature and composition of the universe; ‘Our Senses’ which illustrates the role of the sensory organs in perceiving external reality; ‘Illusion’ which has multi-sensory illusions as part of an immersive experience and ‘Emerging Technology’ which records the new developments in science and technology and the impor - tance of their application in fields like ocean technology, space technology, biotechnology and so on","Science Centre","1993","https://www.rsctirupati.org.in","0877 2286202, miltorset@gmail.com","","09:30 AM - 06:00 PM (Closed on Sundays)",""
"APCOST - Regional Science Centre","Science Center Road, Next to A.P. Tourism, Bhavanipuram, V D Puram, Vijayawada - 520012","Andhra Pradesh","The Regional Science Centre in Vijayawada was set up by the Andhra Pradesh Council of Science and Technology with the aim to democratise scientific knowledge. The exhibits were designed with the intent to encourage interest in Science, Mathematics, and Social Studies among school children. Various concepts of Geometry, Physics, Astronomy were elucidated through the displays. Managed by the Department of Forests, Environment, Science and Technology, APCOST would also arrange for the travel and food for these educational school trips","Science Centre","","https://www.apcost.ap.gov.in","0866 2414161, apcost_vijayawada@yahoo.com","","10:30 AM - 05:00 PM (Closed on Mondays)",""
"Anantapur District Science Museum","JNTU, College Road, Sharada Nagar, Anantapur - 515002","Andhra Pradesh","Anantapur District Science Museum exhibits a range of interactive models that explain the fundamentals of various scientific concepts. The exhibits are composed of a range of i nteractive models that explain the fundamen - tals of various scientific concepts. Infographics and charts relaying the contributions made by scientists serve the educational purpose of the Museum. The visitor demographic of the Museum is composed largely of school students Ownership: State Government Website: www.district-science-center.business.site Social Media : Not Available Contact: 9550096705 Admission: Not Available Timings: 10:00 a.m. - 05:00 p.m. (Closed on Thursdays) Facilities: Café, Photography, Souvenir shop and Guided Tours Amenities: Wheelchairs 28 Directory of Museums in India ZOOLOGICAL AND BOTANICAL MUSEUMS 1.33 JNTU, College Road, Sharada Nagar, Anantapur - 515002 State/UT: Andhra Pradesh Year of Establishment: Not Available Theme: Science Centre Overview : Anantapur District Science Museum exhibits a range of interactive models that explain the fundamentals of various scientific concepts. The exhibits are composed of a range of i nteractive models that explain the fundamen - tals of various scientific concepts. Infographics and charts relaying the contributions made by scientists serve the educational purpose of the Museum. The visitor demographic of the Museum is composed largely of school students Ownership: State Government Website: www.district-science-center.business.site Social Media : Not Available Contact: 9550096705 Admission: Not Available Timings: 10:00 a.m. - 05:00 p.m. (Closed on Thursdays) Facilities: Café, Photography, Souvenir shop and Guided Tours Amenities: Wheelchairs 28 Directory of Museums in India ZOOLOGICAL AND BOTANICAL MUSEUMS 1.33 Andhra Pradesh Year of Establishment: Not Available Theme: Science Centre Overview : Anantapur District Science Museum exhibits a range of interactive models that explain the fundamentals of various scientific concepts. The exhibits are composed of a range of i nteractive models that explain the fundamen - tals of various scientific concepts. Infographics and charts relaying the contributions made by scientists serve the educational purpose of the Museum. The visitor demographic of the Museum is composed largely of school students Ownership: State Government Website: www.district-science-center.business.site Social Media : Not Available Contact: 9550096705 Admission: Not Available Timings: 10:00 a.m. - 05:00 p.m. (Closed on Thursdays) Facilities: Café, Photography, Souvenir shop and Guided Tours Amenities: Wheelchairs 28 Directory of Museums in India ZOOLOGICAL AND BOTANICAL MUSEUMS 1.33 Not Available Theme: Science Centre Overview : Anantapur District Science Museum exhibits a range of interactive models that explain the fundamentals of various scientific concepts. The exhibits are composed of a range of i nteractive models that explain the fundamen - tals of various scientific concepts. Infographics and charts relaying the contributions made by scientists serve the educational purpose of the Museum. The visitor demographic of the Museum is composed largely of school students Ownership: State Government Website: www.district-science-center.business.site Social Media : Not Available Contact: 9550096705 Admission: Not Available Timings: 10:00 a.m. - 05:00 p.m. (Closed on Thursdays) Facilities: Café, Photography, Souvenir shop and Guided Tours Amenities: Wheelchairs 28 Directory of Museums in India ZOOLOGICAL AND BOTANICAL MUSEUMS 1.33 Science Centre Overview : Anantapur District Science Museum exhibits a range of interactive models that explain the fundamentals of various scientific concepts. The exhibits are composed of a range of i nteractive models that explain the fundamen - tals of various scientific concepts. Infographics and charts relaying the contributions made by scientists serve the educational purpose of the Museum. The visitor demographic of the Museum is composed largely of school students Ownership: State Government Website: www.district-science-center.business.site Social Media : Not Available Contact: 9550096705 Admission: Not Available Timings: 10:00 a.m. - 05:00 p.m. (Closed on Thursdays) Facilities: Café, Photography, Souvenir shop and Guided Tours Amenities: Wheelchairs 28 Directory of Museums in India ZOOLOGICAL AND BOTANICAL MUSEUMS 1.33 nan www.district-science-center.business.site Social Media : Not Available Contact: 9550096705 Admission: Not Available Timings: 10:00 a.m. - 05:00 p.m. (Closed on Thursdays) Facilities: Café, Photography, Souvenir shop and Guided Tours Amenities: Wheelchairs 28 Directory of Museums in India ZOOLOGICAL AND BOTANICAL MUSEUMS 1.33 nan 9550096705 Admission: Not Available Timings: 10:00 a.m. - 05:00 p.m. (Closed on Thursdays) Facilities: Café, Photography, Souvenir shop and Guided Tours Amenities: Wheelchairs 28 Directory of Museums in India ZOOLOGICAL AND BOTANICAL MUSEUMS 1.33 Not Available Timings: 10:00 a.m. - 05:00 p.m. (Closed on Thursdays) Facilities: Café, Photography, Souvenir shop and Guided Tours Amenities: Wheelchairs 28 Directory of Museums in India ZOOLOGICAL AND BOTANICAL MUSEUMS 1.33 10:00 a.m. - 05:00 p.m. (Closed on Thursdays) Facilities: Café, Photography, Souvenir shop and Guided Tours Amenities: Wheelchairs 28 Directory of Museums in India ZOOLOGICAL AND BOTANICAL MUSEUMS 1.33 Café, Photography, Souvenir shop and Guided Tours Amenities: Wheelchairs 28 Directory of Museums in India ZOOLOGICAL AND BOTANICAL MUSEUMS","Science Centre","","https://www.district-science-center.business.site","9550096705","","10:00 AM - 05:00 PM (Closed on Thursdays)","Café, Photography, Souvenir shop and Guided Tours, Wheelchairs"
"Zoology Museum","Dantuluri Narayana Raju College, Balusumudi, Bhimavaram, West Godavari District - 534202","Andhra Pradesh","The Museum exhibits specimens such as specimens of Euplectella, Hyalonema, Phakelia, Chaetopterus, Basket Starfish, Lepidosiren, Protopterus, Amia, Lepidosteus, Siren, Amphium a, Poison-Arrow Frog, Phrynosoma Crotalus, European Viper, Japanese Snakes, Opossum and Kangaroo. Skeletons of di fferent vertebrates and 250 speci - mens of fish that come from the rivers Krishna, Godavari and Kolleru a nd from places like Visakhapatnam, Kakinada, Gollapalem, Machilipatnam, Cochin and Mumbai are also displayed in the Museum along with informational charts that explicate the Geographical information about various species. Additionally, postage stamps with illustrations of animals are also preserved and available for viewing","Zoological Museum","","","08816 224119, 08816 224072, 08816 228344, contact@dnrcollege.org","Free","09:00 AM - 05:00 PM (Closed on Sundays)","Photography, Parking"
"Botany Museum","Dantuluri Narayana Raju College, Balusumudi, Bhimavaram, West Godavari District - 534202","Andhra Pradesh","The Museum exhibits donated exhibits like Dawsonia, Glossopteris and Phylloglossum from Australia; Bryophytes of Iowa; rare marine algae from Krusadai Island of Tamil Nadu and carnivorous plants from Assam","Botanical Museum","","https://www.dnrcollege.org","08816 224119, 08816 224072, 08816 228344, contact@dnrcollege.org","Free","09:00 AM - 05:00 PM (Closed on Sundays)","Photography, Parking"
"Archaeological Museum, Malini Than","Siang Hills in Likabali - 791125","Arunachal Pradesh","The Museum has archaeological assets recovered from Malini Than. It has a great treasure of age old (800 - 1000 years) stone sculptures unearthed from Malini Than Temple area during excavation by the research department of Arunachal Pradesh Government","Archaeological Museum","2000","https://www.research.arunachal.gov.in","","Free","09:00 AM - 04:00 PM",""
"Chimchoo Art Gallery","NH 415, Sector H, R.K. Mission Hospital Ward No. 6, Itanagar - 791111","Arunachal Pradesh","","Art and Craft Museum","","https://www.chimchoo-art-galley.business.site","07085424012, chimchooartgallery@gmail.com","","10:00 AM - 08:00 PM, Saturday: 02:00 PM - 10:00 PM and Sunday: 24 hours","Photography"
"District Museum, Changlang","Town Road, Changlang - 792120","Arunachal Pradesh","The Museum displays the tribal materials and cultural objects of Arunachal Pradesh which includes tex - tiles, basketry, pottery, woodcarving, dress and ornaments, headgears, weapons of war and chase, agricultural tools and implements, fishing implements, scroll paintings, household articles, ma sks, heirlooms and musical instruments. There are displays of fine arts work on different subjects such as pe ople of the state, their house types, festivals, danc - es, historical and archaeological sites, handicrafts etc. and these are being exhibited through the visual media","Ethnographic Museum","1992","https://www.research.arunachal.gov.in","","Free","","Café, Photography, Souvenir Shop and Guided Tours, Wheelchair"
"District Museum, West Siang District","Aalo, West Siang District - 791001","Arunachal Pradesh","The Museum displays the Tribal materials and Cultural Objects of Arunachal Pradesh includes textiles, basketry, pottery, woodcarving, dress and ornaments, headgears, weapons of war and chase, agricultural tools and implements, fishing implements, scroll paintings, household articles, masks, heirlooms a nd musical instruments","Ethnographic Museum","","","","Free","10:00 AM to 04:15 PM (Closed on Mondays, 2nd and 4th Saturdays and Government holidays)","Photography"
"Daporijo District Museum","Daporijo - 791122","Arunachal Pradesh","","Ethnographic Museum","1992","https://www.research.arunachal.gov.in","","Free","","Café, Photography, Souvenir Shop and Guided Tours, Wheelchair"
"Seppa District Museum, East Kameng","East Kameng District - 790102","Arunachal Pradesh","","Ethnographic Museum","","https://www.research.arunachal.gov.in","","Free","09:00 AM - 04:30 PM (Closed on Sundays and Government Holidays)",""
"Tawang District Museum","Tawang District - 790102","Arunachal Pradesh","Tribal materials and Cultural objects of Arunachal Pradesh includes textiles, basketry, pottery, woodcarv - ing, dress and ornaments, headgears, weapons of war and chase, agricultural tools and implements, fishing imple - ments, scroll paintings, household articles, masks, heirlooms and musical instruments","Ethnographic Museum","","https://www.research.arunachal.gov.in","","Free","09:00 AM - 04:30 PM (Closed on Sundays and Government Holidays)",""
"Tezu District Museum","Jubilee Marg, Tezu - 792001","Arunachal Pradesh","Tribal materials and Cultural objects of Arunachal Pradesh includes textiles, basketry, pottery, woodcarv - ing, dress and ornaments, headgears, weapons of war and chase, agricultural tools and implements, fishing imple - ments, scroll paintings, household articles, masks, heirlooms and musical instruments","Ethnographic Museum","","https://www.research.arunachal.gov.in","","Free","09:00 AM - 04:30 PM (Closed on Sundays and Government Holidays)",""
"District Museum Ziro, Hapoli District","Club Road, Hapoli - 791120","Arunachal Pradesh","Tribal materials and Cultural objects of Arunachal Pradesh includes textiles, basketry, pottery, woodcarv - ing, dress and ornaments, headgears, weapons of war and chase, agricultural tools and implements, fishing imple - ments, scroll paintings, household articles, masks, heirlooms and musica l instruments. The display maps of fine arts work on different subjects such as people of Arunachal, house-types, festival s, dances, historical and archaeological sites, handicrafts etc. have been added through the visual media","Ethnographic Museum","","https://www.research.arunachal.gov.in","","Free","09:00 AM - 04:30 PM (Closed on Sundays and Government Holidays)","Library"
"Archaeological Site Museum, Itanagar","Itanagar - 791111","Arunachal Pradesh","Tribal materials and Cultural objects of Arunachal Pradesh includes textiles, basketry, pottery, woodcarv - ing, dress and ornaments, headgears, weapons of war and chase, agricultural tools and implements, fishing imple - ments, scroll paintings, household articles, masks, heirlooms and musical instruments","Ethnographic Museums","","https://www.research.arunachal.gov.in","","Free","09:00 AM - 04:30 PM (Closed on Sundays and Government Holidays)",""
"District Museum, Bomdila","Bomdila, West Kameng District - 790001","Arunachal Pradesh","In the Museum, there are altogether a little over seven thousand specimens which includes textiles, bas - ketry, pottery, woodcarving, dress and ornaments, headgears, weapons of war and chase, agricultural tools and imple - ments, fishing implements, scroll paintings, household articles, masks, heir looms and musical instruments. The dis - play maps of fine arts work on different subjects such as people of Arunac hal, house types, festivals, dances, historical and archaeological sites, handicrafts, and religious paraphernalia are also displayed","Multipurpose Museum","1956","https://www.research.arunachal.gov.in","03782 222033","Free","09:00 AM - 04:30 PM (Closed on Saturdays, Sundays and Government Holidays)","Café, Photography, Parking, Guided Tours and  Library"
"Jawaharlal Nehru State Museum","Cona, Itanagar - 791111","Arunachal Pradesh","It showcases aspects of tribal life of Arunachal Pradesh. These include clothing, headdress, weapons, handicraft, music instruments, jewellery and other artefacts of dai ly use and culture, besides archeological finds. The ground floor of the Museum houses an extensive ethnographic collection, including tra ditional art, musical instru - ments, religious objects, and handicrafts, like wood carving and cane products","Multipurpose Museum","1990","https://www.itanagar.nic.in","0360 2212276","Adults: Rs. 20 per head, Students: Rs. 10 per head, free for children below 10 years, Foreigners: Rs. 100 per head","10:00 AM - 04:00 PM (Closed on Mondays and Tuesday, 2nd and 4th Saturdays and Government Holi - days)","Photography and Museum Shop"
"Itanagar Science Centre, Itanagar","Cona, Itanagar - 791111","Arunachal Pradesh","","Science Centre","2005","","","","10:00 AM - 12:00 PM (Closed on Mondays)","Café, Photography, Souvenir shop and Guided Tours, Wheelchair"
